id_post,title,body,user_id,status,created_at
1,Hola Mundo,Hola Mundo,1,publicado,2024-01-06 08:00:00
2,Guía de SQL,Aprende SQL paso a paso,2,publicado,2024-02-12 09:30:00
3,Mi primer post,Estoy feliz de estar aquí,3,publicado,2024-03-10 09:00:00
4,Tips para programar,Organiza tu código y comenta bien,3,publicado,2024-03-15 11:30:00
5,Post sin nombre,Pendiente por completar,4,borrador,2023-09-01 08:00:00
6,Idea pendiente,Una nueva idea para el blog,4,borrador,2023-10-05 10:00:00
7,Actualización del sistema,Hoy mejoramos el rendimiento,2,publicado,2025-08-01 02:17:58
8,Post del día,Contenido diario para nuestros usuarios,1,publicado,2025-08-01 02:17:58
9,Ideas nuevas,Estoy probando nuevas ideas,3,publicado,2024-04-10 12:00:00
10,Última guía,Contenido útil para todos,2,publicado,2024-07-28 13:42:00
